,ID,ClSph,ClDk,ClIr,ClPS,ClUn
0,GDS_deep2_10000,0.4,0.0,0.0,0.6,0.0
1,GDS_deep2_10006,0.0,1.0,0.0,0.0,0.0
2,GDS_deep2_10010,0.4,0.6,0.0,0.0,0.0
3,GDS_deep2_10016,0.1,0.7,0.2,0.0,0.0
4,GDS_deep2_10018,0.4,0.6,0.0,0.0,0.0
5,GDS_deep2_10021,0.0,1.0,0.0,0.0,0.0
6,GDS_deep2_10024,0.4,0.6,0.0,0.0,0.0
7,GDS_deep2_10027,0.0,0.0,0.4,0.0,0.6
8,GDS_deep2_10035,0.4,0.6,0.0,0.0,0.0
9,GDS_deep2_10039,0.0,0.6,0.4,0.0,0.0
10,GDS_deep2_10042,0.9,0.1,0.0,0.0,0.0
11,GDS_deep2_10043,0.1,0.7,0.2,0.0,0.0
12,GDS_deep2_10051,0.2,0.8,0.0,0.0,0.0
13,GDS_deep2_10061,0.9,0.0,0.0,0.1,0.0
14,GDS_deep2_10064,0.0,0.9,0.1,0.0,0.0
15,GDS_deep2_10071,0.5,0.5,0.0,0.0,0.0
16,GDS_deep2_10072,0.4,0.6,0.0,0.0,0.0
17,GDS_deep2_10075,0.2,0.1,0.0,0.7,0.0
18,GDS_deep2_10080,0.333333333333,0.533333333333,0.133333333333,0.0,0.0
19,GDS_deep2_10081,0.0,0.0,0.4,0.0,0.6
20,GDS_deep2_10082,0.1,0.8,0.1,0.0,0.0
21,GDS_deep2_10083,0.1,0.4,0.3,0.0,0.2
22,GDS_deep2_10084,0.5,0.5,0.0,0.0,0.0
23,GDS_deep2_10085,0.3,0.0,0.0,0.7,0.0
24,GDS_deep2_10087,0.3,0.2,0.0,0.5,0.0
25,GDS_deep2_10088,0.0,0.3,0.1,0.0,0.6
26,GDS_deep2_10090,0.1,0.5,0.4,0.0,0.0
27,GDS_deep2_10096,0.3,0.7,0.0,0.0,0.0
28,GDS_deep2_10098,0.3,0.6,0.1,0.0,0.0
29,GDS_deep2_10100,0.5,0.5,0.0,0.0,0.0
30,GDS_deep2_10101,0.4,0.1,0.0,0.5,0.0
31,GDS_deep2_10105,0.1,0.9,0.0,0.0,0.0
32,GDS_deep2_10110,0.0,0.5,0.5,0.0,0.0
33,GDS_deep2_10115,0.4,0.6,0.0,0.0,0.0
34,GDS_deep2_10120,0.2,0.8,0.0,0.0,0.0
35,GDS_deep2_10127,0.3,0.5,0.0,0.0,0.2
36,GDS_deep2_10133,0.0,1.0,0.0,0.0,0.0
37,GDS_deep2_10134,0.0,0.0,0.0,1.0,0.0
38,GDS_deep2_10135,0.0,0.5,0.5,0.0,0.0
39,GDS_deep2_10138,0.0,1.0,0.0,0.0,0.0
40,GDS_deep2_10139,0.1,0.9,0.0,0.0,0.0
41,GDS_deep2_10140,0.2,0.5,0.3,0.0,0.0
42,GDS_deep2_10142,0.6,0.0,0.0,0.4,0.0
43,GDS_deep2_10145,0.5,0.5,0.0,0.0,0.0
44,GDS_deep2_10149,0.4,0.6,0.0,0.0,0.0
45,GDS_deep2_10153,0.0666666666667,0.566666666667,0.366666666667,0.0,0.0
46,GDS_deep2_10154,0.3,0.0,0.0,0.7,0.0
47,GDS_deep2_10155,0.266666666667,0.666666666667,0.0666666666667,0.0,0.0
48,GDS_deep2_10166,0.3,0.7,0.0,0.0,0.0
49,GDS_deep2_10169,0.6,0.0,0.0,0.4,0.0
50,GDS_deep2_10172,0.5,0.5,0.0,0.0,0.0
51,GDS_deep2_10176,0.4,0.4,0.2,0.0,0.0
52,GDS_deep2_10182,0.1,0.8,0.1,0.0,0.0
53,GDS_deep2_10184,0.0,0.8,0.2,0.0,0.0
54,GDS_deep2_10189,0.4,0.5,0.1,0.0,0.0
55,GDS_deep2_10191,0.1,0.9,0.0,0.0,0.0
56,GDS_deep2_10193,0.8,0.0,0.0,0.2,0.0
57,GDS_deep2_10198,0.8,0.2,0.0,0.0,0.0
58,GDS_deep2_10199,0.1,0.6,0.3,0.0,0.0
59,GDS_deep2_10201,0.5,0.0,0.0,0.5,0.0
60,GDS_deep2_10208,0.2,0.8,0.0,0.0,0.0
61,GDS_deep2_10209,0.4,0.0,0.0,0.5,0.1
62,GDS_deep2_10212,0.266666666667,0.266666666667,0.466666666667,0.0,0.0
63,GDS_deep2_10216,0.0,0.3,0.2,0.0,0.5
64,GDS_deep2_10217,0.6,0.0,0.2,0.2,0.0
65,GDS_deep2_10218,0.1,0.7,0.2,0.0,0.0
66,GDS_deep2_10221,0.5,0.3,0.1,0.1,0.0
67,GDS_deep2_10222,0.2,0.0,0.0,0.8,0.0
68,GDS_deep2_10223,0.0,0.7,0.3,0.0,0.0
69,GDS_deep2_10226,0.5,0.5,0.0,0.0,0.0
70,GDS_deep2_10231,0.0,0.4,0.6,0.0,0.0
71,GDS_deep2_10234,0.5,0.0,0.0,0.5,0.0
72,GDS_deep2_10236,0.1,0.9,0.0,0.0,0.0
73,GDS_deep2_10239,0.0,0.8,0.2,0.0,0.0
74,GDS_deep2_10246,0.1,0.7,0.0,0.2,0.0
75,GDS_deep2_10248,0.1,0.7,0.2,0.0,0.0
76,GDS_deep2_10262,0.8,0.2,0.0,0.0,0.0
77,GDS_deep2_10266,0.2,0.8,0.0,0.0,0.0
78,GDS_deep2_10267,0.6,0.4,0.0,0.0,0.0
