,ID,h,j,v,z,label
0,GDS_deep2_10000,368.722997444,353.013174752,358.713561232,180.35731243,pointsource
1,GDS_deep2_10006,852.049770193,978.303356993,879.754967994,763.976618108,disk
2,GDS_deep2_10010,284.55586689,351.119792934,234.520850898,241.210506047,disk
3,GDS_deep2_10016,351.002350931,300.414989688,330.768796063,185.62045956,disk
4,GDS_deep2_10018,396.329327016,595.535287105,663.939557468,448.766303665,disk
5,GDS_deep2_10021,576.155225312,475.929597969,167.8403779,227.978868577,disk
6,GDS_deep2_10024,364.288116093,436.283746522,249.466348845,286.98996233,disk
8,GDS_deep2_10035,5215.38659905,4723.58243348,1403.15562143,2253.58339063,disk
10,GDS_deep2_10042,1912.8149981,1496.95336613,225.247543501,389.43087103,spheroid
11,GDS_deep2_10043,375.214102445,493.112752144,418.538970574,330.102414263,disk
12,GDS_deep2_10051,1416.70683657,1475.39311269,487.551385426,739.644896541,disk
13,GDS_deep2_10061,1200.33515341,1296.13277364,870.741442138,728.690826028,spheroid
14,GDS_deep2_10064,338.800121191,321.708510932,129.627656327,145.103145086,disk
15,GDS_deep2_10071,821.792088558,808.114945624,408.205772112,507.465030153,spheroid
17,GDS_deep2_10075,167.88820041,167.048638781,160.879484952,136.832989341,pointsource
18,GDS_deep2_10080,2799.56141668,2027.85777561,634.322688191,821.295066058,disk
20,GDS_deep2_10082,3991.76732005,4152.68603325,2221.97764968,2388.20356489,disk
21,GDS_deep2_10083,449.787804033,372.586669727,360.85609929,242.845856928,disk
22,GDS_deep2_10084,13324.2419061,11151.1534321,1401.66275538,3953.16528742,spheroid
23,GDS_deep2_10085,3437.61783745,4494.44838221,1088.24245805,1923.88346507,pointsource
24,GDS_deep2_10087,263.495766539,398.076584783,308.496896881,183.485721847,pointsource
26,GDS_deep2_10090,678.117461114,788.535298285,814.301266855,491.248780101,disk
27,GDS_deep2_10096,508.965366492,592.162227269,457.500299896,393.799933832,disk
28,GDS_deep2_10098,712.888202593,819.906609276,566.714148105,521.479535457,disk
29,GDS_deep2_10100,1226.55330075,1401.21146312,537.988994692,462.392613598,spheroid
30,GDS_deep2_10101,527.247286455,517.471854547,344.301628215,318.008636686,pointsource
31,GDS_deep2_10105,2178.40141979,2325.74483858,925.437360331,1283.40315443,disk
32,GDS_deep2_10110,276.158653353,305.741623898,144.371465919,143.502099103,disk
33,GDS_deep2_10115,1505.40374283,1737.88149976,892.474542815,1117.51908583,disk
34,GDS_deep2_10120,1498.03671192,1642.64816258,481.725255162,722.708340914,disk
35,GDS_deep2_10127,281.522639085,15.8956766795,597.515785321,321.923537131,disk
37,GDS_deep2_10134,20443.9733422,26860.4262872,30709.720086,17911.4738972,pointsource
