0.636364,0.672727,0.301525,1.40809,['0.0/22', '68.0/68', '0.0/13', '2.0/6', '0.0/1']
0.572727,0.763636,0.29925,1.38365,['2.0/23', '60.0/61', '0.0/16', '1.0/8', '0.0/2']
0.590909,0.736364,0.27902,1.42405,['0.0/22', '63.0/68', '2.0/11', '0.0/5', '0.0/4']
0.509091,0.663636,0.285441,1.45158,['0.0/29', '56.0/57', '0.0/13', '0.0/7', '0.0/4']
0.5,0.754545,0.277276,1.46557,['0.0/28', '54.0/54', '0.0/15', '1.0/8', '0.0/5']
0.490909,0.790909,0.276928,1.47711,['1.0/34', '53.0/53', '0.0/12', '0.0/8', '0.0/3']
0.481818,0.772727,0.269439,1.48336,['1.0/25', '51.0/54', '0.0/22', '1.0/7', '0.0/2']
0.663636,0.854545,0.230515,1.44927,['3.0/22', '67.0/70', '0.0/12', '3.0/5', '0.0/1']
0.5,0.727273,0.275655,1.48768,['2.0/30', '53.0/53', '0.0/18', '0.0/4', '0.0/5']
0.563636,0.781818,0.257593,1.45915,['2.0/22', '57.0/60', '0.0/16', '3.0/8', '0.0/4']
0.572727,0.836364,0.257512,1.4475,['1.0/25', '62.0/62', '0.0/13', '0.0/9', '0.0/1']
0.609091,0.863636,0.246459,1.43139,['6.0/25', '60.0/65', '0.0/8', '1.0/6', '0.0/6']
0.618182,0.827273,0.234082,1.40793,['3.0/21', '65.0/65', '0.0/13', '0.0/8', '0.0/3']
0.572727,0.927273,0.250637,1.43262,['0.0/31', '62.0/66', '0.0/9', '1.0/1', '0.0/3']
0.627273,0.827273,0.241133,1.43109,['4.0/22', '63.0/68', '2.0/12', '0.0/5', '0.0/3']
0.681818,0.872727,0.220751,1.3939,['1.0/22', '70.0/71', '0.0/9', '4.0/6', '0.0/2']
0.627273,0.909091,0.241474,1.38796,['0.0/18', '66.0/67', '0.0/19', '2.0/2', '1.0/4']
0.681818,0.927273,0.215223,1.37975,['10.0/19', '59.0/63', '0.0/19', '6.0/7', '0.0/2']
0.618182,0.909091,0.24228,1.40781,['14.0/28', '51.0/58', '0.0/11', '3.0/10', '0.0/3']
0.627273,0.854545,0.231064,1.40394,['4.0/22', '60.0/61', '0.0/15', '4.0/7', '1.0/5']
0.6,0.863636,0.22193,1.39012,['2.0/22', '56.0/56', '0.0/18', '7.0/11', '1.0/3']
0.654545,0.890909,0.208567,1.38452,['10.0/25', '62.0/65', '0.0/12', '0.0/5', '0.0/3']
0.627273,0.909091,0.250963,1.36486,['1.0/18', '65.0/65', '0.0/20', '3.0/5', '0.0/2']
0.636364,0.890909,0.228556,1.36506,['13.0/30', '57.0/61', '0.0/11', '0.0/4', '0.0/4']
0.690909,0.918182,0.210488,1.38239,['20.0/24', '54.0/61', '0.0/19', '1.0/4', '1.0/2']
0.545455,0.781818,0.243259,1.44094,['5.0/28', '50.0/53', '0.0/16', '3.0/10', '2.0/3']
0.636364,0.890909,0.230003,1.40018,['16.0/25', '52.0/64', '0.0/15', '2.0/4', '0.0/2']
0.727273,0.927273,0.227324,1.38954,['14.0/23', '64.0/66', '0.0/14', '2.0/6', '0.0/1']
0.7,0.9,0.202559,1.36776,['13.0/23', '60.0/65', '0.0/12', '4.0/8', '0.0/2']
0.709091,0.909091,0.214877,1.3881,['10.0/21', '67.0/71', '0.0/10', '1.0/4', '0.0/4']
0.563636,0.8,0.253318,1.40789,['3.0/28', '59.0/62', '0.0/10', '0.0/6', '0.0/4']
0.645455,0.827273,0.240891,1.4078,['9.0/27', '56.0/59', '0.0/12', '6.0/8', '0.0/4']
0.681818,0.890909,0.221053,1.37447,['26.0/34', '45.0/54', '0.0/12', '4.0/7', '0.0/3']
0.609091,0.918182,0.21463,1.36647,['17.0/25', '46.0/54', '0.0/23', '4.0/6', '0.0/2']
0.672727,0.890909,0.218491,1.37398,['4.0/23', '68.0/68', '0.0/12', '2.0/6', '0.0/1']
0.563636,0.772727,0.263005,1.41693,['6.0/28', '55.0/57', '0.0/16', '0.0/4', '1.0/5']
0.618182,0.827273,0.237621,1.40977,['5.0/19', '60.0/62', '0.0/16', '2.0/9', '1.0/4']
0.636364,0.9,0.219969,1.35045,['5.0/27', '61.0/61', '0.0/11', '3.0/10', '1.0/1']
0.727273,0.872727,0.201834,1.35104,['12.0/26', '64.0/65', '0.0/7', '3.0/6', '1.0/6']
0.718182,0.918182,0.199148,1.33344,['8.0/18', '67.0/69', '0.0/13', '4.0/8', '0.0/2']
0.618182,0.909091,0.23529,1.35477,['7.0/33', '59.0/62', '0.0/10', '1.0/1', '1.0/4']
0.654545,0.872727,0.222809,1.40382,['16.0/23', '51.0/66', '0.0/13', '2.0/5', '3.0/3']
0.645455,0.9,0.212763,1.40961,['18.0/20', '48.0/73', '0.0/10', '3.0/5', '2.0/2']
0.609091,0.9,0.233314,1.39492,['8.0/18', '55.0/66', '3.0/20', '0.0/2', '1.0/4']
0.754545,0.936364,0.210745,1.36034,['12.0/19', '65.0/68', '0.0/14', '6.0/7', '0.0/2']
0.6,0.872727,0.266898,1.39098,['2.0/26', '62.0/62', '0.0/9', '2.0/10', '0.0/3']
0.663636,0.927273,0.210427,1.38441,['12.0/22', '51.0/59', '4.0/17', '2.0/7', '4.0/5']
0.618182,0.863636,0.21248,1.39732,['8.0/20', '46.0/58', '5.0/18', '8.0/11', '1.0/3']
0.7,0.9,0.210659,1.38414,['13.0/26', '63.0/66', '0.0/11', '0.0/5', '1.0/2']
0.636364,0.954545,0.220705,1.3508,['8.0/23', '58.0/62', '0.0/18', '3.0/5', '1.0/2']
0.609091,0.9,0.235143,1.4292,['12.0/29', '50.0/63', '0.0/10', '1.0/4', '4.0/4']
0.590909,0.936364,0.235297,1.35257,['4.0/25', '61.0/62', '0.0/17', '0.0/4', '0.0/2']
0.645455,0.963636,0.196282,1.35354,['18.0/27', '49.0/55', '0.0/16', '3.0/9', '1.0/3']
0.672727,0.927273,0.215488,1.36606,['16.0/25', '55.0/67', '0.0/13', '2.0/3', '1.0/2']
0.681818,0.927273,0.220311,1.36138,['7.0/22', '64.0/66', '1.0/14', '2.0/6', '1.0/2']
0.727273,0.927273,0.192537,1.36064,['15.0/24', '58.0/62', '1.0/14', '4.0/8', '2.0/2']
0.745455,0.909091,0.20853,1.3721,['15.0/19', '61.0/71', '2.0/10', '2.0/6', '2.0/4']
0.745455,0.927273,0.191621,1.34145,['19.0/27', '59.0/61', '0.0/11', '4.0/7', '0.0/4']
0.627273,0.827273,0.231543,1.42913,['16.0/25', '46.0/57', '0.0/15', '3.0/8', '4.0/5']
